"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2021","0.39630","0.42960","0.42960","0.38860","126.84M","-7.43%"
"09/18/2021","0.42810","0.42590","0.45330","0.40930","197.36M","0.73%"
"09/17/2021","0.42500","0.47670","0.47670","0.41530","273.36M","-10.86%"
"09/16/2021","0.47680","0.50500","0.57350","0.46060","486.12M","-5.51%"
"09/15/2021","0.50460","0.45630","0.56720","0.45430","467.39M","10.80%"
"09/14/2021","0.45540","0.43150","0.48660","0.40180","377.60M","5.47%"
"09/13/2021","0.43180","0.42450","0.44630","0.36780","485.90M","1.60%"
"09/12/2021","0.42500","0.36180","0.42550","0.34770","275.45M","17.08%"
"09/11/2021","0.36300","0.31610","0.38900","0.31410","320.59M","15.24%"
"09/10/2021","0.31500","0.32980","0.33850","0.29340","151.98M","-4.78%"
"09/09/2021","0.33080","0.31760","0.36000","0.30590","353.50M","3.57%"
"09/08/2021","0.31940","0.27340","0.32550","0.24490","243.40M","18.08%"
"09/07/2021","0.27050","0.31210","0.34390","0.23600","339.07M","-13.33%"
"09/06/2021","0.31210","0.30760","0.31860","0.29530","102.71M","1.53%"
"09/05/2021","0.30740","0.31620","0.31700","0.29660","118.14M","-3.33%"
"09/04/2021","0.31800","0.28580","0.31890","0.27740","175.91M","11.27%"
"09/03/2021","0.28580","0.27400","0.28580","0.26590","118.86M","4.15%"
"09/02/2021","0.27440","0.26410","0.27780","0.25980","145.38M","3.74%"
"09/01/2021","0.26450","0.25170","0.26610","0.24400","100.87M","5.13%"
"08/31/2021","0.25160","0.24470","0.27400","0.24040","154.48M","2.82%"
"08/30/2021","0.24470","0.25210","0.25660","0.24160","62.60M","-3.01%"
"08/29/2021","0.25230","0.26080","0.26370","0.25010","65.43M","-3.26%"
"08/28/2021","0.26080","0.25400","0.26940","0.24930","77.26M","2.64%"
"08/27/2021","0.25410","0.23850","0.25460","0.22870","71.23M","6.76%"
"08/26/2021","0.23800","0.25841","0.26164","0.23120","89.42M","-7.82%"
"08/25/2021","0.25820","0.25261","0.26081","0.24081","106.40M","1.96%"
"08/24/2021","0.25324","0.26101","0.29083","0.25122","241.46M","-2.89%"
"08/23/2021","0.26077","0.24145","0.26501","0.24070","125.97M","8.03%"
"08/22/2021","0.24139","0.24229","0.24896","0.23330","69.36M","-0.36%"
"08/21/2021","0.24226","0.24714","0.25058","0.23920","69.54M","-1.89%"
"08/20/2021","0.24693","0.23733","0.25093","0.23450","91.27M","4.04%"
"08/19/2021","0.23733","0.22347","0.23740","0.21845","79.09M","6.21%"
"08/18/2021","0.22345","0.22707","0.23358","0.21531","77.84M","-1.60%"
"08/17/2021","0.22709","0.24230","0.25271","0.22385","123.84M","-6.32%"
"08/16/2021","0.24242","0.25198","0.26611","0.24060","112.52M","-3.82%"
"08/15/2021","0.25204","0.26290","0.26450","0.24039","143.69M","-3.93%"
"08/14/2021","0.26235","0.23140","0.27652","0.22719","319.22M","13.46%"
"08/13/2021","0.23123","0.21844","0.23154","0.21569","65.26M","5.94%"
"08/12/2021","0.21827","0.22793","0.23633","0.21207","71.10M","-4.12%"
"08/11/2021","0.22765","0.22500","0.24097","0.22326","121.62M","1.25%"
"08/10/2021","0.22483","0.22121","0.23060","0.21700","74.16M","1.72%"
"08/09/2021","0.22103","0.21338","0.22294","0.20652","48.84M","3.68%"
"08/08/2021","0.21319","0.22489","0.22540","0.20918","52.75M","-5.32%"
"08/07/2021","0.22517","0.21829","0.22632","0.21654","82.33M","3.21%"
"08/06/2021","0.21817","0.21950","0.21968","0.21253","53.90M","-0.40%"
"08/05/2021","0.21905","0.21779","0.22189","0.20800","56.98M","0.60%"
"08/04/2021","0.21774","0.21458","0.21897","0.20691","51.94M","1.30%"
"08/03/2021","0.21494","0.20888","0.22743","0.20480","102.73M","2.77%"
"08/02/2021","0.20914","0.20427","0.21283","0.20147","42.65M","1.89%"
"08/01/2021","0.20527","0.21448","0.21899","0.20214","45.85M","-3.79%"
"07/31/2021","0.21336","0.21418","0.21779","0.20766","45.93M","-0.45%"
"07/30/2021","0.21433","0.20408","0.21731","0.19920","84.38M","4.92%"
"07/29/2021","0.20428","0.19690","0.20517","0.19455","43.66M","3.86%"
"07/28/2021","0.19668","0.19776","0.20743","0.19302","70.29M","-0.57%"
"07/27/2021","0.19781","0.18347","0.20459","0.17979","108.59M","7.68%"
"07/26/2021","0.18371","0.17691","0.20897","0.17573","201.42M","3.86%"
"07/25/2021","0.17688","0.17454","0.17700","0.17059","42.17M","-1.25%"
"07/24/2021","0.17911","0.17467","0.18159","0.17275","50.41M","2.54%"
"07/23/2021","0.17468","0.17353","0.17471","0.16564","41.53M","0.80%"
"07/22/2021","0.17329","0.16949","0.17634","0.16335","65.59M","2.42%"
"07/21/2021","0.16920","0.15757","0.17146","0.15500","73.46M","7.18%"
"07/20/2021","0.15787","0.17269","0.17476","0.15595","70.35M","-8.70%"
"07/19/2021","0.17292","0.18024","0.18181","0.17050","39.08M","-4.37%"
"07/18/2021","0.18082","0.18735","0.19440","0.17942","47.00M","-3.49%"
"07/17/2021","0.18735","0.18083","0.19365","0.17801","98.26M","3.59%"
"07/16/2021","0.18085","0.17488","0.19920","0.17022","216.99M","3.49%"
"07/15/2021","0.17475","0.17028","0.18359","0.16520","102.76M","2.63%"
"07/14/2021","0.17028","0.17601","0.17645","0.16314","52.94M","-3.18%"
"07/13/2021","0.17587","0.16760","0.18400","0.16535","123.46M","4.70%"
"07/12/2021","0.16797","0.17155","0.17349","0.16438","37.13M","-1.79%"
"07/11/2021","0.17103","0.16915","0.17338","0.16775","20.58M","1.14%"
"07/10/2021","0.16910","0.17496","0.17678","0.16602","36.06M","-3.40%"
"07/09/2021","0.17506","0.16573","0.17756","0.16413","54.76M","2.30%"
"07/08/2021","0.17112","0.18554","0.18736","0.17073","50.30M","-7.84%"
"07/07/2021","0.18568","0.18470","0.19180","0.18463","49.65M","0.71%"
"07/06/2021","0.18438","0.18439","0.18949","0.18263","67.57M","0.07%"
"07/05/2021","0.18425","0.19452","0.19452","0.18231","53.82M","-5.28%"
"07/04/2021","0.19453","0.19487","0.19546","0.19277","52.05M","0.80%"
"07/03/2021","0.19299","0.19318","0.19371","0.18905","65.51M","-0.02%"
"07/02/2021","0.19302","0.21177","0.21177","0.18893","89.75M","-8.79%"
"07/01/2021","0.21162","0.19512","0.21162","0.18279","203.38M","8.19%"
"06/30/2021","0.19560","0.19083","0.19560","0.17774","86.66M","3.22%"
"06/29/2021","0.18950","0.18286","0.19343","0.18229","90.72M","3.86%"
"06/28/2021","0.18245","0.18231","0.18367","0.17650","77.51M","-0.03%"
"06/27/2021","0.18251","0.17910","0.18251","0.17266","65.23M","1.95%"
"06/26/2021","0.17902","0.16495","0.18575","0.16495","190.86M","8.43%"
"06/25/2021","0.16510","0.19237","0.19326","0.16510","133.46M","-14.05%"
"06/24/2021","0.19208","0.18208","0.19225","0.17788","75.18M","5.30%"
"06/23/2021","0.18242","0.16671","0.18605","0.16671","125.83M","9.70%"
"06/22/2021","0.16629","0.17428","0.17428","0.14403","252.91M","-4.63%"
"06/21/2021","0.17437","0.19361","0.19361","0.16654","209.14M","-9.69%"
"06/20/2021","0.19307","0.19539","0.19698","0.18431","72.88M","-1.29%"
"06/19/2021","0.19560","0.20646","0.21000","0.19560","65.84M","-5.25%"
"06/18/2021","0.20644","0.20797","0.22576","0.19936","167.02M","-0.85%"
"06/17/2021","0.20822","0.20499","0.21268","0.20020","91.66M","1.31%"
